Feature,Importance
Discount,0.3776631323623647
Sales,0.24461787386276848
Quantity,0.04984393375910936
Category_Home and Accessories,0.04572561162360926
Category_Hair care,0.020549464345511175
Subcategory_body moisturizers,0.01940193489153406
Order_Year,0.018707240099095336
Subcategory_face masks and exfoliators,0.018540120125691145
Category_Make up,0.01284619173555471
Segment_Corporate,0.012506813508591983
Order_Month,0.01232706842406265
Subcategory_Nail care products,0.010916450003846277
Subcategory_shampoos and conditioners,0.010386670131107625
Order_DayOfWeek,0.00957691833071695
Subcategory_vitamins and supplements,0.009281285553410745
